"こどものけんかのとき、やめなさい！ ３もじ","Cut it out!","Knock it off!","Stop it!"
"ありがとう。あなたのおかげでいい一日だった","Thank you so much for today. You made my day.","",""
"彼の両親が許し続けるかぎり、彼はずっとわがままだ。","He will be as selfish as his parents allow him to be.","",""
"大変な経験をたくさんした。でも全体的にすばらしい経験だった。忘れないよ。","I had a lot of challenging experiences, but overall it was a great experience. I will never forget them.","",""
"実は話を少し盛っています","Actually, I am exaggerating the story a little bit.","",""
"マヨネーズの発音","mayonnaise","",""
"きにしないで！ただの潔癖症なんだ。パンデミックで潔癖症になりました。","Don't mind me, I'm just a clean freak. The pandemic made me a clean freak.","",""
"家族はなんにんですか？","How big is your family?","How many people are in your family?",""
"私は、熱湯で手にやけどをしてしまいました。","I burned my hand with boiling water.","",""
"あなたが昇格したことに乾杯！ 自由に乾杯","Here's to your promotion!","Here's to being free.",""
"ゲロはきそう","I feel like throwing up.","I'm gonna puke.",""
"ほうきとちりとり","broom and dustpan","",""
"忙しそうだから手伝いますよ　becauseを使わずに。かたいから。","I will help you as you look busy.","I'll help you since you look busy.",""
"それは、あんまりだ。","That's too much.","That's not fair.",""
"飛行機は遅れそうです。","The flight will be delayed.","",""
"妻は前歯に虫歯がある","My wife has a cavity in her front tooth!","",""
"このディスカッションは有意義でした。","This discussion was meaningful.","This was a productive discussion.",""
"同じ意見、ぼートを使う","We are in the same boat.","",""
"民間人が飢餓に苦しんでいる","Civilians are suffering from hunger.","",""
"口答えをするな。","Don't talk back to me!","",""
"日焼けが痛い。","My sunburn hurts.","",""
"彼は根性がある","He has a lot of guts.","He has grit.",""
"彼は、情け容赦ない。","He has no pity.","He is merciless.",""
"栗","chestnuts","",""
"わたしはプロゴルファーになると決めてます。","I've decided to become a professional golfer.","",""
"経理部の方とお話ししたいのですが。","I'd like to speak to someone in the accounting department.","",""
"ワオ、しらなかった。","Wow, that's new to me.","Wow, I had no idea.",""
"往路チケット、復路チケット、往復チケット","one way, return, round trip","",""
"広々としたキッチンスペース","wide-open kitchen space","spacious kitchen",""
"彼の部門は、赤字です。黒字です","His section is in the red.","His section is in the black.",""
"ピッカピカです。","It's sparkling clean.","",""
"私は毎日化粧をしています。","I wear makeup every day.","I put on makeup every day.",""
"今日は比較的混んでいます。","It is comparatively crowded today.","It's relatively crowded today.",""
"車いす利用者","wheelchair user","",""
"今ちょうどそれを言おうとしていたところなんだ。","I was just about to say that.","",""
"久しぶりに母にあったとき、老けたなーと思った","When I met my mother for the first time in a long time, I thought she had aged.","",""
"料理の食材を買おうよ","Let's buy ingredients for cooking.","",""
"当面の重要な関心事は天候だ。","Our main concern at the moment is the weather.","",""
"入場料はいくらですか？","How much is the admission fee?","",""
"チャイルドシートを借りるのはいくらですか？","How much does it cost to rent a car seat?","",""
"彼女は気を失った。２パターン","She lost consciousness.","She fainted.",""
"学歴社会","academic background society","credential-based society",""
"本気だぞ！２つ","I mean it.","I am serious.",""
"疲労回復にはよく眠るのが一番です。","The best way to recover from fatigue is to sleep well.","The best way to get over fatigue is to sleep well.",""
"彼は行動力がある人だ。","He is a man of action.","",""
"有名ブランドの偽物だね","It's a knock-off of a famous brand.","It's a counterfeit of a famous brand.",""
"あなたは深く考える癖がある。","You tend to overthink sometimes.","",""
"4月にしては寒いね。","It's quite cold for April, isn't it?","",""
"そのレストランは、優れたサービスで評判が高い。","That restaurant has a great reputation for its excellent service.","",""
"I'm cooler than the polar bear's toe nails

Chillin' like a villain","I'm cooler than the polar bear's toe nails

Chillin' like a villain","",""
"この件にかんしては、補償します。","I will compensate you for this matter.","",""
"その業界、もう先細ってるよね。","That industry is already on its way down.","That industry is already winding down.","That industry is on the decline."
"下りエスカレーターをダッシュで上ってるようなもんだよ。","It's like sprinting up a down escalator.","You're basically running up an escalator that's going down.",""
"ゲームチェンジャーが現れた瞬間、市場は一気に壊れる。","The moment a game-changer shows up, the market collapses overnight.","When a game-changer appears, the whole market gets disrupted in an instant.",""
"テクノロジーは敵じゃなくて共存関係です。","Technology isn't the enemy — we coexist with it.","We're not at war with technology; we live alongside it.",""
"経営者の目線で考えてみて。","Try thinking from a business owner's perspective.","Try looking at it through the eyes of a manager.",""
"倒産したら、給料の話どころじゃないよ。","If the company goes under, salary isn't even the issue anymore.","Once the company collapses, your paycheck is the least of your worries.",""
"健全な危機感は持っといた方がいい。","It pays to keep a healthy sense of urgency.","You should hold on to a healthy sense of crisis.",""
"副業はこっそり始めとくのがおすすめです。","I'd recommend starting a side hustle quietly.","The smart move is to quietly get a side gig going.",""
"今の会社に将来性を感じてないなら、副業を準備しといた方がいい。","If you don't see a future at your current company, you should have a side hustle ready.","If your current job has no future, line up a side hustle now.",""
"仕事を否定されると、人生まで否定された気持ちになっちゃうんだよね。","When your work gets attacked, it feels like your whole life is being attacked.","When someone trashes your job, it feels like they're trashing your life.",""
"物事を0か1かで判断するのは、ちょっと危険ですね。","Judging things in black-and-white is a bit dangerous.","Looking at everything as all-or-nothing is risky.",""
"グラデーションで考えられる人が、論理的な人です。","People who can see things on a spectrum are the logical ones.","The truly logical thinkers are the ones who see shades of gray.",""
"結論ありきで話を聞いても、何も入ってこないよね。","If you listen with your mind already made up, nothing gets through.","When you've already decided the answer, nothing the other person says lands.",""
"表面的にしか見てないですよ、それ。","You're only looking at the surface there.","That's a pretty surface-level take.",""
"別に押しつけるつもりはないんですけど。","I'm not trying to force my view on you or anything.","I'm not trying to shove this down your throat.",""
"これはあくまで僕の独断と偏見なんで、最後は自分で判断してね。","This is just my own bias and opinion — you make the final call yourself.","Take it with a grain of salt — at the end of the day, it's your call.",""
"危機感を煽りたいわけじゃなくて、考えるきっかけになればって思ってるだけ。","I'm not trying to scare you — I just want to give you something to think about.","This isn't fearmongering; I just want it to be a starting point for thinking.",""
"論破して気持ちいいのは勝った方だけ。負けた方はずっと根に持つよ。","Winning an argument only feels good for the winner — the loser holds a grudge for years.","Crushing someone in a debate only satisfies you; they'll resent you forever.",""
"ちょっと立ち止まって、自分のキャリアを見つめ直してみて。","Take a moment to step back and reassess your career.","Pause for a second and take another look at your career.",""
"自分の人生は、自分で切り開くもんですよ。","You have to carve out your own life.","Your life is yours to forge.",""
"自分の身は自分で守るしかない。","At the end of the day, you're the only one who can protect yourself.","No one's going to protect you but you.",""
"言い訳ばっかりしてないで、まず動こう。","Stop making excuses and just start moving.","Quit the excuses and take action.",""
"結局、行動した人が勝つんです。","In the end, the people who take action are the ones who win.","Action wins, every time.",""
"学んだことは絶対に無駄にならない。","Whatever you learn is never wasted.","Nothing you learn is ever wasted.",""
"自分にとっての幸せを、ちゃんと考えた方がいい。","You really should think hard about what happiness means to you.","You owe it to yourself to figure out what your version of happiness looks like.",""
"給料が上がらなくても、好きな仕事で満たされてるなら、それはそれで全然アリ。","Even if your pay doesn't go up, being fulfilled by work you love is perfectly fine.","A flat salary is totally OK if you love what you do.",""
"大事なのは、自分の人生に納得して生きることだから。","What matters is living a life you can be at peace with.","The whole point is to live a life you can stand behind.",""
"それ、ちょっと心当たりあるかも。","Hmm, that kind of rings a bell.","That actually sounds familiar.",""
"完全に図星だね。","That's spot-on.","That hit a nerve.","Bullseye."
"一回もう、考え直してみてもいいんじゃない？","Maybe it's worth reconsidering, you know?","Might be worth giving it another think.",""
